i,mean,sd,q05,q50,q95,neff,rhat
266,0.480612,0.927694,-1.05675,0.491854,1.95378,1247.8,0.997748
267,-0.464977,0.889617,-1.86741,-0.530732,1.00121,1666.89,0.997537
268,0.201918,0.915778,-1.3177,0.261354,1.59899,1492.84,0.997615
269,0.130376,0.96681,-1.50749,0.165794,1.66518,1215.1,0.997191
270,0.541261,0.875879,-0.959871,0.55711,1.95531,1666.89,1.00039
271,0.533464,0.845315,-0.818373,0.567154,1.9809,1249.72,0.998626
272,-0.0641196,0.930036,-1.63187,-0.0520201,1.4904,1041.13,0.997657
273,-0.237602,0.966312,-1.85247,-0.257615,1.31213,1491.17,0.99668
274,-0.580342,0.792142,-1.93201,-0.568577,0.694149,1209.63,0.999561
275,-0.105205,0.952254,-1.65972,-0.0884667,1.49042,1087.21,1.00149
276,0.124267,1.00147,-1.56638,0.124532,1.77975,1085.21,0.996886
277,0.224561,0.945798,-1.3588,0.217342,1.74731,947.045,0.997745
278,-0.0352979,0.894252,-1.59444,-0.00715627,1.44432,1274.05,0.997419
279,-0.305763,1.01746,-1.98205,-0.292948,1.41356,957.852,0.998249
280,0.207274,1.00136,-1.575,0.200841,1.88485,1188.41,0.999268
281,-0.500698,0.826891,-1.83348,-0.480945,0.867879,961.132,0.9998
282,0.127295,1.01517,-1.5914,0.113503,1.86552,1638.44,0.999351
283,-0.0905751,0.91789,-1.60812,-0.0887476,1.39882,1093.26,0.998521
284,-0.00751602,0.885563,-1.45272,0.027433,1.43053,1561.2,0.998084
285,0.110363,0.870035,-1.4202,0.0871771,1.52944,1666.89,0.99848
286,-0.259032,0.95713,-1.74132,-0.274017,1.47604,900.007,0.999889
287,-0.131445,0.956981,-1.62899,-0.120632,1.41549,1584.14,1.00003
288,0.167751,0.960785,-1.38822,0.13602,1.71256,1363.91,1.00231
289,-0.0494821,1.0335,-1.72814,-0.0830786,1.60273,1565.76,0.997901
290,0.224411,0.960729,-1.26281,0.242133,1.71303,1145.0,0.998222
291,0.202968,0.864032,-1.21925,0.192624,1.61458,903.783,1.00233
292,0.071235,0.893979,-1.45114,0.0769666,1.53038,1056.94,0.999383
293,-0.158459,0.812971,-1.47338,-0.138126,1.23984,1108.65,0.997668
294,0.488709,0.871834,-1.01607,0.535052,1.85602,1101.62,1.00082
295,-0.410561,1.01085,-2.1579,-0.417915,1.1922,1431.65,1.00039
296,-0.258313,1.01068,-1.86771,-0.27578,1.33565,982.815,0.997141
297,0.420141,0.857232,-1.05736,0.430137,1.81097,986.28,0.997787
298,0.0467217,0.806065,-1.29261,0.021997,1.39071,1666.89,0.997744
299,0.0267882,1.03743,-1.72953,0.0270586,1.80095,950.42,1.0008
300,-0.265245,0.8436,-1.58911,-0.290665,1.15057,1038.26,0.998561
301,-0.230213,0.900911,-1.59457,-0.264612,1.23131,1455.79,0.997353
302,-0.730193,0.781811,-2.05165,-0.753339,0.627609,1168.33,0.998255
303,0.409458,0.799027,-0.919343,0.454297,1.65781,1003.76,0.998606
304,0.324648,0.779485,-0.973667,0.323436,1.58831,979.399,1.00098
305,0.0641117,0.850996,-1.46071,0.12075,1.37201,1087.55,0.996833
306,-0.4052,0.944697,-1.90891,-0.462911,1.20106,1666.89,0.998388
307,-0.0437897,0.898477,-1.61044,-0.03461,1.43663,1285.05,0.997556
308,-0.293982,1.04268,-1.87064,-0.327896,1.42193,1247.27,1.00084
309,-0.244777,1.03391,-1.89542,-0.239277,1.40831,1666.89,0.997648
310,0.274326,0.900378,-1.21383,0.265627,1.7368,1452.82,0.997759
311,-0.362046,0.968058,-2.02566,-0.380374,1.1434,1049.93,0.997781
312,0.464739,0.846738,-0.964178,0.427473,1.78903,1096.8,0.998662
313,0.150302,0.972429,-1.43048,0.156443,1.80942,1356.51,0.997129
314,-0.253122,0.804824,-1.68829,-0.238866,1.04938,1319.97,0.997517
315,-0.537924,0.885129,-1.90395,-0.543577,0.873996,1191.28,0.997961
316,0.178906,1.00231,-1.56671,0.178482,1.88906,1276.04,0.9974
317,0.229571,0.9764,-1.37779,0.29513,1.69777,1604.74,0.999124
318,-0.919549,0.919917,-2.42093,-0.904119,0.595035,1259.75,0.998627
319,0.0555931,1.01465,-1.71999,0.0972414,1.71122,1528.42,0.997744
320,-0.271574,0.904099,-1.79068,-0.274801,1.2603,1515.26,0.996948
321,-0.505593,0.958945,-1.98449,-0.520479,1.04695,1666.89,0.997195
322,-0.175148,0.976736,-1.76025,-0.206815,1.425,876.746,0.999609
323,0.219949,0.896523,-1.29929,0.157194,1.78017,1270.9,0.997275
324,-0.272567,1.00327,-1.89682,-0.238093,1.33242,1666.89,0.999125
325,0.45622,0.881475,-0.990938,0.444509,1.89432,1130.95,0.99921
326,-0.270055,0.918272,-1.74821,-0.292294,1.17124,1666.89,0.998322
327,-0.536493,1.0231,-2.22948,-0.531315,1.15139,1666.89,0.996899
328,0.490046,0.776611,-0.839578,0.478438,1.77529,1061.9,0.997811
329,-0.319107,0.882935,-1.84766,-0.286581,1.1471,1255.07,0.997028
330,0.0905713,0.990564,-1.56533,0.154762,1.68189,1540.5,0.997384
331,-0.135163,0.938141,-1.58612,-0.131073,1.4527,986.797,0.998625
332,0.0119548,1.00595,-1.65086,0.0451408,1.64767,1381.09,0.996751
333,0.398409,0.925816,-1.08664,0.3876,1.88986,1357.43,0.99978
334,0.205425,0.921971,-1.34722,0.182088,1.77402,1273.72,0.997145
335,0.163375,0.91851,-1.40462,0.141076,1.76626,1666.89,0.997835
336,-0.152455,1.11088,-1.89605,-0.154577,1.64794,1066.37,0.997995
337,0.243636,1.01427,-1.478,0.248836,1.98728,1443.71,0.996943
338,0.566133,0.974754,-1.05953,0.594885,2.11677,1666.89,0.998033
339,0.0109382,0.88434,-1.47036,0.0359148,1.39949,1292.21,0.999419
340,-0.139554,0.804607,-1.41372,-0.18611,1.1656,1150.27,0.998131
341,-0.371986,0.95539,-1.8449,-0.409925,1.20392,1005.38,0.996993
342,0.0572511,0.898466,-1.42141,0.0636362,1.63777,1439.25,0.998101
343,0.214453,0.870457,-1.21035,0.25331,1.60239,1077.66,0.997142
344,-0.0570894,0.980648,-1.71422,-0.0684536,1.50197,1368.59,0.997746
345,-0.108157,1.04113,-1.90625,-0.0953939,1.6342,859.794,1.00024
346,-0.100728,0.919531,-1.62188,-0.0884262,1.44245,1533.16,0.998019
347,0.63478,0.832747,-0.794738,0.672376,2.01004,1090.84,0.998236
348,-0.291554,1.03512,-1.94735,-0.331737,1.33111,1666.89,0.997431
349,-0.215976,0.93298,-1.81138,-0.219197,1.27086,953.105,1.00056
350,0.558701,0.951559,-1.04132,0.553678,2.1229,1210.37,1.00041
351,-0.0875565,0.944797,-1.6977,-0.128746,1.52525,1432.21,1.00002
352,0.198789,0.907476,-1.40274,0.208323,1.71004,1084.43,0.997405
353,0.763869,0.809371,-0.47937,0.774605,2.06864,1097.42,0.99791
354,0.641554,0.964902,-1.06627,0.685445,2.19609,1418.48,0.998024
355,-0.218985,0.99385,-1.85901,-0.231213,1.24618,1666.89,0.997393
