i,mean,sd,q05,q50,q95,neff,rhat
244,0.297598,0.826124,-1.42681,0.733706,1.13461,2.4504,1.22872
245,0.924106,0.95925,-0.825814,1.6801,1.68024,1.34059,1.78407
246,0.861675,0.926805,-1.14595,1.51412,1.51438,1.56113,1.52305
247,0.66079,0.834778,-1.02082,1.17816,1.29963,1.88862,1.35804
248,1.33775,1.06869,-0.596196,2.20078,2.20104,1.29409,1.87003
249,0.227124,0.669388,-1.07528,0.449568,1.1774,6.37437,1.07762
250,-0.0393414,0.931455,-0.737349,-0.737073,1.81489,1.43281,1.6419
251,-0.886094,0.600934,-2.18941,-0.60116,-0.136183,3.02474,1.1749
252,-0.790032,1.15079,-1.74005,-1.73948,1.36245,1.25946,1.9649
253,0.0949813,0.699146,-1.40263,0.47254,0.838411,2.35197,1.24509
254,-0.0312539,0.81364,-0.786587,-0.501667,1.62184,2.12009,1.28866
255,-0.113624,0.943362,-0.787464,-0.787063,1.77799,1.5228,1.54439
256,-0.936375,0.913696,-1.52354,-1.52322,0.884402,1.83349,1.38861
257,0.823693,0.627665,-0.41861,1.02802,1.75294,6.36364,1.07277
258,0.520132,0.58218,-0.580327,0.668127,1.33576,12.3759,1.04952
259,0.69196,1.04608,-1.2773,1.4856,1.48581,1.40843,1.67272
260,0.823804,0.888291,-0.824308,1.43696,1.4371,1.59862,1.48418
261,-0.433586,0.615676,-1.40493,-0.52318,0.758524,812.424,1.01249
262,0.245337,0.856026,-1.56356,0.734256,1.0222,2.15319,1.27993
263,0.872657,0.764345,-0.808868,1.21045,1.79035,3.51053,1.14754
264,-1.33838,1.20801,-2.36854,-2.36811,0.83354,1.21168,2.13338
265,0.36253,0.617241,-0.464716,0.239952,1.57942,32.0601,1.02652
266,-0.79866,1.01232,-1.60769,-1.60745,1.23391,1.31843,1.8293
267,-0.39852,0.989518,-1.09789,-1.09773,1.47873,1.56052,1.52596
268,0.339141,0.607627,-0.8473,0.464993,1.23766,24.7602,1.0261
269,0.00562911,0.757361,-1.48478,0.326608,0.86011,3.78197,1.13356
270,-0.181279,0.670001,-1.57848,0.100903,0.602464,3.85682,1.13117
271,-0.178513,0.536299,-1.02005,-0.234403,0.849884,604.896,1.00396
272,-0.606493,0.652507,-1.57787,-0.737832,0.667883,68.2203,1.0253
273,-0.247643,0.703231,-1.09244,-0.531199,1.22562,4.04354,1.12172
