gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.287949,0.875234,0.885164,5.91572,1.02784
0.293022,0.898849,1.03315,5.91441,1.0344
0.294902,0.873778,0.927821,5.90643,1.03782
0.284283,0.878457,0.937871,5.92877,1.04239
0.291064,0.87352,0.863907,5.92065,1.03568
0.298928,0.852895,0.950421,5.92578,1.0158
0.298,0.860626,0.920976,5.91958,1.03385
0.301483,0.873453,0.912272,5.92575,1.035
0.291124,0.878866,0.725939,5.92089,1.03709
0.292541,0.87699,0.904442,5.91318,1.02818
0.287613,0.896744,0.793315,5.92211,1.03034
0.298479,0.875595,0.930194,5.92197,1.01965
0.287834,0.879119,0.88473,5.91222,1.02408
0.294607,0.869496,0.931442,5.90993,1.02365
0.279168,0.880057,0.937719,5.88651,1.02334
0.293886,0.864904,0.787965,5.92322,1.03197
0.29903,0.875808,0.984698,5.91586,1.03206
0.294366,0.832915,0.922393,5.93368,1.02698
0.279549,0.892418,0.833341,5.91409,1.03385
0.282785,0.882425,0.857681,5.89351,1.03078
0.281939,0.901458,0.857706,5.92417,1.03722
0.297672,0.878186,0.903969,5.91852,1.03535
0.300896,0.887652,0.830859,5.93094,1.02977
0.290736,0.881862,0.90818,5.91918,1.03657
0.293427,0.897688,0.887496,5.94255,1.03407
0.298356,0.894032,0.83998,5.91721,1.03517
0.30115,0.870443,0.975023,5.92936,1.02894
0.286155,0.893801,0.930511,5.93395,1.03159
0.296865,0.892148,0.839176,5.91323,1.03808
0.291781,0.87259,0.893802,5.91513,1.033
0.295112,0.86216,0.775979,5.92758,1.03803
0.293889,0.872245,0.76468,5.91898,1.03658
0.293483,0.88138,0.948748,5.92228,1.04178
0.288038,0.892993,0.943886,5.91878,1.0263
0.291034,0.874896,0.911611,5.91682,1.0232
0.307554,0.864016,0.895377,5.90765,1.03844
0.299592,0.888762,0.942836,5.90999,1.04252
0.29563,0.881083,0.964218,5.91968,1.03585
0.27851,0.878386,0.874718,5.90157,1.02678
0.308329,0.869047,0.8685,5.90956,1.02464
0.289517,0.873601,0.881598,5.92341,1.03179
0.301111,0.891817,0.894271,5.92367,1.02714
0.290268,0.886128,0.900018,5.93378,1.02723
0.291039,0.907647,0.98131,5.91896,1.02987
0.296179,0.880291,0.818849,5.91763,1.03195
0.29546,0.875638,0.943036,5.92266,1.04141
0.288049,0.874161,0.829088,5.91271,1.0294
0.295665,0.867627,0.888351,5.91529,1.02517
0.297861,0.882526,0.847104,5.91659,1.03115
0.289043,0.885795,0.844147,5.91398,1.04557
0.296991,0.879849,1.00565,5.91172,1.03864
0.295484,0.865161,0.878486,5.91868,1.02397
0.289196,0.867337,0.842743,5.91757,1.02865
0.308893,0.890779,0.869977,5.93714,1.03834
0.294308,0.889281,0.921726,5.90661,1.02878
0.291961,0.875285,0.789203,5.91496,1.02934
0.294515,0.878159,0.751252,5.91612,1.02278
0.298657,0.878157,0.904666,5.9181,1.03068
0.29012,0.890583,0.861317,5.93644,1.03536
0.294446,0.878003,0.79411,5.92047,1.04121
0.297025,0.864477,0.941737,5.9204,1.03903
0.296223,0.881933,0.918148,5.92549,1.02675
0.292509,0.867856,0.838277,5.91776,1.03458
0.299061,0.877385,0.77022,5.90814,1.02644
