,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
log_lik[8954],-1.01626,0.009398,0.290385,-1.34673,-1.10225,-0.416541,954.724,5.55922,0.99774
log_lik[8955],-0.457268,0.00887393,0.252615,-0.977681,-0.397576,-0.140912,810.376,4.7187,0.998403
log_lik[8956],-0.466347,0.0122574,0.286826,-1.03881,-0.363766,-0.286804,547.574,3.18844,1.00166
log_lik[8957],-0.638036,0.0123207,0.341961,-1.3061,-0.541726,-0.321402,770.345,4.48561,0.997649
log_lik[8958],-0.423426,0.00783265,0.16416,-0.775175,-0.363762,-0.296694,439.256,2.55772,1.00406
log_lik[8959],-0.517313,0.00984138,0.26018,-0.986247,-0.441954,-0.308572,698.934,4.0698,0.999846
log_lik[8960],-1.00868,0.0102498,0.306432,-1.36693,-1.10138,-0.38827,893.788,5.2044,1.00029
log_lik[8961],-0.520733,0.00886474,0.211301,-0.987242,-0.456055,-0.32219,568.163,3.30833,0.999344
log_lik[8962],-0.772516,0.0122579,0.355101,-1.31491,-0.763975,-0.194957,839.219,4.88665,1.00014
log_lik[8963],-0.636207,0.00827188,0.254458,-1.11687,-0.572218,-0.354189,946.29,5.51011,1.0008
log_lik[8964],-0.700412,0.00917067,0.295184,-1.30612,-0.617767,-0.363976,1036.06,6.0328,0.997532
log_lik[8965],-0.743434,0.0119424,0.334628,-1.24118,-0.735156,-0.200423,785.134,4.57172,1.00209
log_lik[8966],-0.655457,0.0122629,0.263274,-1.11777,-0.628307,-0.259401,460.921,2.68388,1.00071
log_lik[8967],-0.547425,0.00930812,0.259163,-1.13249,-0.458585,-0.318521,775.216,4.51397,0.996831
log_lik[8968],-0.500479,0.006675,0.193004,-0.860124,-0.442973,-0.314972,836.046,4.86818,1.0005
log_lik[8969],-0.934649,0.0119601,0.343607,-1.35486,-1.01068,-0.300431,825.383,4.80609,0.998331
log_lik[8970],-0.97652,0.0137044,0.337669,-1.36284,-1.06538,-0.323582,607.104,3.53508,0.999391
log_lik[8971],-0.550049,0.0104413,0.257141,-1.10074,-0.467748,-0.323111,606.506,3.5316,0.998494
log_lik[8972],-0.833827,0.00940774,0.310041,-1.2783,-0.873136,-0.279045,1086.09,6.32417,1.00094
log_lik[8973],-0.47019,0.00812269,0.219272,-0.953393,-0.389792,-0.299332,728.73,4.24329,1.00209
log_lik[8974],-0.476761,0.00878357,0.195318,-0.910145,-0.407347,-0.301527,494.475,2.87926,0.99756
log_lik[8975],-0.195549,0.00620639,0.146032,-0.471772,-0.154131,-0.0466419,553.627,3.22369,1.00177
log_lik[8976],-0.30699,0.00699503,0.191327,-0.68948,-0.269648,-0.0891986,748.124,4.35622,0.997812
log_lik[8977],-0.661102,0.0123702,0.343192,-1.25719,-0.637149,-0.13327,769.706,4.48189,0.997838
